K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100
,,,,,,,,6,17,60,57.31,303,83,365,,0,36,32,72.26,236,68,347,,,,,,,,
,,,,,,,,0,63,28,57.32,301,91,331,,4,6,69,72.3,302,79,382,,,,,,,,
,,,,,,,,0,41,48,57.38,315,89,354,,4,46,0,72.42,146,50,292,,,,,,,,
,,,,,,,,0,37,35,57.41,251,72,349,,2,48,0,72.54,148,50,296,,,,,,,,
,,,,,,,,0,53,23,57.44,251,76,330,,6,85,12,72.62,315,103,306,,,,,,,,
,,,,,,,,12,35,75,57.46,429,122,352,,0,50,0,72.78,150,50,300,,,,,,,,
,,,,,,,,10,20,40,57.47,240,70,343,,0,8,69,72.89,300,77,390,,,,,,,,
,,,,,,,,45,72,56,57.49,530,173,306,,18,45,28,73.02,283,91,311,,,,,,,,
,,,,,,,,22,53,34,57.56,339,109,311,,0,69,8,73.22,239,77,310,,,,,,,,
,,,,,,,,4,59,0,57.59,185,63,294,,19,43,52,73.28,375,114,329,,,,,,,,
,,,,,,,,2,45,30,57.65,259,77,336,,50,0,0,73.29,100,50,200,,,,,,,,
,,,,,,,,0,90,0,57.67,270,90,300,,3,57,25,73.33,277,85,326,,,,,,,,
,,,,,,,,18,88,23,57.72,392,129,304,,0,53,34,73.4,295,87,339,,,,,,,,
,,,,,,,,0,20,52,57.82,268,72,372,,4,20,66,73.6,332,90,369,,,,,,,,
,,,,,,,,2,27,51,57.93,289,80,361,,14,16,13,73.73,128,43,298,,,,,,,,
,,,,,,,,0,20,52,57.93,268,72,372,,4,20,66,73.86,332,90,369,,,,,,,,
,,,,,,,,8,44,50,57.98,348,102,341,,26,27,60,73.96,373,113,330,,,,,,,,
,,,,,,,,10,44,40,58.08,312,94,332,,23,40,4,74.97,182,67,272,,,,,,,,
,,,,,,,,12,42,30,58.13,270,84,321,,27,44,6,75.19,210,77,273,,,,,,,,
,,,,,,,,0,54,36,58.2,306,90,340,,7,34,18,75.68,188,59,319,,,,,,,,
,,,,,,,,4,34,36,58.2,254,74,343,,0,36,40,75.89,268,76,353,,,,,,,,
,,,,,,,,0,36,54,58.2,324,90,360,,22,42,26,75.94,274,90,304,,,,,,,,
,,,,,,,,10,64,16,58.21,276,90,307,,0,0,50,75.97,200,50,400,,,,,,,,
,,,,,,,,28,0,57,58.35,284,85,334,,23,1,8,76.21,81,32,253,,,,,,,,
,,,,,,,,2,34,40,58.35,266,76,350,,4,46,0,76.33,146,50,292,,,,,,,,
,,,,,,,,2,34,40,58.38,266,76,350,,3,8,63,76.51,282,74,381,,,,,,,,
,,,,,,,,0,36,54,58.52,324,90,360,,45,40,31,76.64,334,116,288,,,,,,,,
,,,,,,,,43,23,55,58.62,375,121,310,,22,42,26,76.83,274,90,304,,,,,,,,
,,,,,,,,0,20,50,58.63,260,70,371,,9,53,28,76.98,289,90,321,,,,,,,,
,,,,,,,,11,16,38,58.63,222,65,342,,50,40,8,76.99,252,98,257,,,,,,,,
,,,,,,,,25,35,65,58.69,415,125,332,,0,90,0,77.04,270,90,300,,,,,,,,
,,,,,,,,4,72,0,58.73,224,76,295,,2,48,0,77.13,148,50,296,,,,,,,,
,,,,,,,,4,35,2,58.76,121,41,295,,40,55,33,77.27,377,128,295,,,,,,,,
,,,,,,,,2,40,48,58.83,316,90,351,,22,0,52,77.41,252,74,341,,,,,,,,
,,,,,,,,4,39,38,58.85,277,81,342,,2,12,62,77.42,288,76,379,,,,,,,,
,,,,,,,,10,12,52,58.98,264,74,357,,4,27,59,77.57,325,90,361,,,,,,,,
,,,,,,,,0,63,27,59.04,297,90,330,,6,52,32,77.97,296,90,329,,,,,,,,
,,,,,,,,10,24,51,59.18,296,85,348,,2,12,62,77.97,288,76,379,,,,,,,,
,,,,,,,,0,50,0,59.23,150,50,300,,4,6,69,78.15,302,79,382,,,,,,,,
,,,,,,,,4,43,35,59.37,277,82,338,,6,52,32,78.47,296,90,329,,,,,,,,
,,,,,,,,0,72,18,59.41,288,90,320,,2,30,58,78.55,326,90,362,,,,,,,,
,,,,,,,,0,14,60,59.47,282,74,381,,14,14,34,78.76,206,62,332,,,,,,,,
,,,,,,,,52,7,66,59.61,389,125,311,,50,6,72,78.91,406,128,317,,,,,,,,
,,,,,,,,0,52,23,59.65,248,75,331,,25,39,49,78.92,363,113,321,,,,,,,,
,,,,,,,,13,7,66,59.7,311,86,362,,4,46,0,79.06,146,50,292,,,,,,,,
,,,,,,,,26,20,33,59.73,244,79,309,,3,35,24,79.36,207,62,334,,,,,,,,
,,,,,,,,0,0,50,59.75,200,50,400,,0,28,68,79.37,356,96,371,,,,,,,,
,,,,,,,,0,20,50,59.84,260,70,371,,43,75,58,79.37,543,176,309,,,,,,,,
,,,,,,,,0,18,46,59.88,238,64,372,,0,50,0,79.45,150,50,300,,,,,,,,
,,,,,,,,17,50,70,59.94,464,137,339,,,,,,,,,,,,,,,,
,,,,,,,,0,38,12,59.97,162,50,324,,,,,,,,,,,,,,,,
