K1,K2,K3,average,difficulty,,,output,,,,,,
2,40,16,51.65,188,324,"188,51.65,",44.981136,,,,,,
10,0,60,56.09,260,371,"260,56.09,",52.73122,,,,,,
0,63,28,63.14,301,331,"301,63.14,",70.441665,,,,,,
9,22,26,51.03,188,330,,,,,,,,
38,25,30,43.62,271,291,,,,,,,,
15,13,54,28.7,285,348,,,,,,,,
4,88,0,87.34,272,296,,,,,,,,
39,49,14,44,281,275,,,,,,,,
3,35,24,79.36,207,334,,,,,,,,
25,35,65,58.69,415,332,,,,,,,,
47,60,25,70.1,374,283,,,,,,,,
15,85,2,44.62,293,287,,,,,,,,
35,0,25,61.56,170,283,,,,,,,,
40,25,39,60.98,311,299,,,,,,,,
0,55,75,40.97,465,358,,,,,,,,
28,32,75,68.15,452,335,,,,,,,,
15,58,27,54.16,312,312,,,,,,,,
9,34,13,67.42,172,307,,,,,,,,
45,40,31,76.64,334,288,,,,,,,,
25,39,49,78.92,363,321,,,,,,,,
28,83,0,26.68,305,275,,,,,,,,
14,34,81,35.64,454,352,,,,,,,,
6,8,4,43.64,52,289,,,,,,,,
52,7,66,59.61,389,311,,,,,,,,
23,40,4,74.97,182,272,,,,,,,,
1,0,75,32.04,302,397,,,,,,,,
19,55,1,44.69,207,276,,,,,,,,
3,41,81,37.96,453,362,,,,,,,,
13,14,14,89.43,124,302,,,,,,,,
39,37,40,37.51,349,301,,,,,,,,
35,47,14,34.89,267,278,,,,,,,,
18,35,63,26.58,393,339,,,,,,,,
33,87,29,63.59,443,297,,,,,,,,
26,18,57,71.84,334,331,,,,,,,,
38,63,81,37.31,589,324,,,,,,,,
21,64,64,42.23,490,329,,,,,,,,
4,89,37,88,423,325,,,,,,,,
47,34,64,39.95,452,312,,,,,,,,
33,7,61,70.31,331,328,,,,,,,,
6,82,8,40.77,290,302,,,,,,,,
1,70,66,49.33,476,347,,,,,,,,
43,28,61,87.4,414,314,,,,,,,,
22,61,52,68.69,435,322,,,,,,,,
7,65,9,64.4,245,302,,,,,,,,
21,17,21,90.19,177,300,,,,,,,,
7,34,18,75.68,188,319,,,,,,,,
48,39,10,27.92,253,261,,,,,,,,
9,57,35,30.05,329,326,,,,,,,,
17,72,21,35.44,334,304,,,,,,,,
5,84,23,61.52,354,316,,,,,,,,
32,64,61,57.29,500,318,,,,,,,,
26,27,60,73.96,373,330,,,,,,,,
4,85,70,46.52,543,342,,,,,,,,
49,44,68,32.63,502,312,,,,,,,,
31,50,37,86.24,360,305,,,,,,,,
49,2,35,53.04,244,284,,,,,,,,
2,16,49,85.79,248,370,,,,,,,,
32,81,37,88.08,455,303,,,,,,,,
30,63,81,85.45,573,329,,,,,,,,
37,83,61,47.5,567,313,,,,,,,,
14,13,81,89.05,391,362,,,,,,,,
4,23,25,29.71,177,340,,,,,,,,
22,2,70,52.08,330,351,,,,,,,,
0,14,50,51.28,242,378,,,,,,,,
47,21,50,84.07,357,303,,,,,,,,
6,73,13,71.16,283,308,,,,,,,,
43,29,18,41.63,245,272,,,,,,,,
40,65,57,32.3,503,310,,,,,,,,
23,1,8,76.21,81,253,,,,,,,,
45,72,56,57.49,530,306,,,,,,,,
4,56,23,39.8,268,323,,,,,,,,
11,73,38,65.92,393,322,,,,,,,,
39,2,73,70.08,376,330,,,,,,,,
22,78,7,31.78,306,286,,,,,,,,
11,74,52,38.38,452,330,,,,,,,,
0,62,43,32.99,358,341,,,,,,,,
51,62,46,31.62,472,297,,,,,,,,
29,75,57,87.15,511,317,,,,,,,,
9,45,19,71.59,229,314,,,,,,,,
40,20,5,81.42,160,246,,,,,,,,
4,61,26,42.89,295,324,,,,,,,,
4,35,2,58.76,121,295,,,,,,,,
40,44,54,36.65,428,310,,,,,,,,
30,28,49,85.91,340,318,,,,,,,,
18,17,27,88.74,195,315,,,,,,,,
14,16,13,73.73,128,298,,,,,,,,
18,35,14,53.55,197,294,,,,,,,,
3,48,67,70.48,418,354,,,,,,,,
23,59,4,63.13,239,278,,,,,,,,
23,66,67,37.71,512,328,,,,,,,,
1,76,7,86.06,258,307,,,,,,,,
40,55,33,77.27,377,295,,,,,,,,
34,85,67,44.69,591,318,,,,,,,,
42,79,21,47.84,405,285,,,,,,,,
27,22,77,60.95,428,340,,,,,,,,
